depth	min	max	median	mean
0	-70	-70	-70	-70
1	-69.3	-68.9	-69.1	-69.1
2	-68.3	-66.8	-67.7	-67.7
3	-66.4	-64.6	-65.6	-65.6
4	-64.1	-60.8	-62.8	-62.7
5	-60.9	-56.8	-59.2	-59.1
6	-57.3	-51.6	-54.8	-54.7
7	-52.9	-46.2	-49.9	-49.8
8	-48.2	-40.5	-44.5	-44.5
9	-42.7	-33.4	-38.4	-38.3
10	-36.4	-27	-31.8	-31.8
11	-30.1	-18.6	-24.5	-24.5
12	-22.8	-11.3	-17	-17
13	-15.1	-1.3	-8.2	-8.2
14	-6.3	7.8	0.8	0.8
15	2.4	20.2	11.3	11.3
16	12.5	30	21.2	21.2
17	20.5	42.8	31.6	31.7
18	29.4	53.8	41.9	41.8
19	36.4	68.2	52.2	52.2
20	44.4	82.2	63	63
21	50.8	100.9	74.3	74.6
22	57.2	116.3	85.2	85.7
23	62.1	135.2	95.1	96.1
24	67.1	150.5	105.1	106.4
25	72.9	166.7	115.5	116.7
