depth	min	max	median	mean
0	-70	-70	-70	-70
1	-69.4	-68.3	-69	-69
2	-68.2	-62.7	-66.8	-66.5
3	-66.6	-54.2	-63.4	-62.6
4	-64.4	-47.2	-58.9	-58
5	-61.4	-38.4	-53.8	-52.8
6	-57.9	-31.9	-48.2	-47.3
7	-52.6	-21.1	-40.5	-39.5
8	-46.9	-13.5	-33.9	-33
9	-41.7	-6.9	-27.8	-26.9
10	-36.8	0.1	-21.7	-20.8
11	-31.2	6.7	-14.8	-14.2
12	-24.9	16.1	-6.1	-5.6
13	-16.3	47.4	10.7	11.9
14	-8.3	62.8	22.3	23.6
15	-1.3	76.9	32.9	34.2
16	6.4	91.1	42.8	44.5
17	13.5	104.8	53.2	54.8
18	21.2	116.4	63.5	65.1
19	28.8	129.7	73.6	75.4
20	36.5	141.9	83.9	85.5
21	43.9	155.7	93.6	95.4
22	51.8	166.9	103.9	105.6
23	59.9	178.6	114.2	115.8
24	67.3	191.5	124.2	125.8
25	76	203.6	134.9	136
26	83.3	216.7	144.6	146.2
27	93.1	227.7	155	156.4
