depth	min	max	median	mean
0	-70	-70	-70	-70
1	-69.2	-68.8	-69	-69
2	-67.9	-67.2	-67.6	-67.6
3	-66	-65.1	-65.6	-65.6
4	-63.3	-62.3	-62.8	-62.8
5	-59.9	-58.6	-59.3	-59.3
6	-55.8	-54.1	-55	-55
7	-51.2	-49.1	-50.2	-50.2
8	-46.1	-43.7	-44.9	-44.9
9	-40.4	-37.6	-39	-39
10	-34.1	-30.8	-32.5	-32.5
11	-27.3	-23.5	-25.4	-25.4
12	-19.3	-14.9	-17.1	-17.1
13	-11.2	-6	-8.6	-8.6
14	-2.1	4.1	1.2	1.2
15	7.4	15.2	11.5	11.5
16	16.9	27	22.4	22.3
17	26	38.8	33	32.8
18	35	52.1	44.5	44.2
19	43	65.8	55.5	55.2
20	50.4	80.4	66.7	66.3
21	57.2	98.5	79	78.6
22	63.2	118.3	91	91
23	68.2	140.7	102.7	103.3
24	73.3	164.4	114.4	115.5
