depth	min	max	median	mean
0	-70	-70	-70	-70
1	-69.3	-68.4	-68.9	-68.9
2	-68.2	-62.6	-66.8	-66.4
3	-66.5	-55.1	-63.6	-62.8
4	-63.8	-49.8	-59.6	-58.8
5	-60.5	-43.4	-55	-54.2
6	-56.9	-36.3	-49.7	-48.9
7	-53.1	-29.5	-43.8	-43.1
8	-47.7	-15.7	-35.2	-34.4
9	-42.6	-9.7	-28.6	-27.9
10	-37	-3.5	-22.5	-21.9
11	-31.3	2.7	-16.5	-15.9
12	-25.7	8.5	-10.1	-9.7
13	-19.6	14.9	-3.2	-3
14	-13.6	26.4	5.8	5.8
15	-5.9	60.8	21.9	23.3
16	2	76.7	33.9	35.3
17	10.7	91.2	44.6	46
18	17.9	104.4	54.7	56.4
19	25.3	118.2	65.6	66.9
20	33.5	131.2	75.6	77.2
21	41.1	145.1	85.6	87.3
22	49.5	155.9	95.6	97.3
23	56.8	170.6	105.8	107.5
