ID,Depth (cm),Density g/cm^3,210Pb (Bq/kg),sd(210Pb),Thickness (cm),Info
1,1,0.10009133513146,99.6860197491129,4.48587088871008,1,2020
3,3,0.101725773498201,200.087825344466,9.00395214050095,1,4
6,6,0.108085629501251,287.504628393874,12.9377082777243,1,
9,9,0.118548356123311,227.614505685786,10.2426527558604,1,
12,12,0.132089788784509,155.908276473346,7.01587244130055,1,
16,16,0.152615602292742,63.7232621841813,2.86754679828816,1,
24,24,0.188839545591677,15.2863006205213,1,1,
26,26,0.19452997279149,14.89872175492,1,1,
27,27,0.196657695383833,15.8365769407439,1,1,
28,28,0.198274226501799,14.5747068531993,1,1,
29,29,0.199361855092181,15.4600354421461,1,1,
30,30,0.19990866486854,14.8512894875218,1,1,
