depth	min	max	median	mean
0	-70	-70	-70	-70
1	-69.3	-68.9	-69.1	-69.1
2	-68.2	-66.3	-67.6	-67.5
3	-66.8	-62.4	-65.5	-65.3
4	-64.2	-58.9	-62.6	-62.4
5	-61	-54.5	-58.8	-58.5
6	-57.4	-49.2	-54.3	-54.1
7	-53.1	-42.9	-49.1	-48.8
8	-48.1	-35.9	-43.6	-43.2
9	-43.4	-29.6	-37.7	-37.4
10	-37.3	-20.4	-30.5	-30.1
11	-30.8	-14.2	-23.7	-23.4
12	-24.6	-7.2	-16.4	-16.2
13	-17.3	4.7	-7.1	-6.9
14	-8.6	12.4	1.6	1.7
15	-0.5	20.8	10.4	10.4
16	7.3	35.8	21.4	21.5
17	17.7	45.1	31.5	31.6
18	27.1	55.3	41.4	41.4
19	33.9	71.6	52	52.2
20	41.9	82.6	62.4	62.5
21	49.5	95.7	72.9	72.8
22	54.4	113.7	83.2	83.4
23	59.1	131.5	93	93.7
24	64.9	148.4	103.2	104
25	70.4	165.8	113	114.2
